id,user_id,kind,created_at,started_at,ended_at,note,payload,feeding_kind,breast_side,session_seconds,feeding_amount,feeding_unit,feeding_amount_ml,bottle_content,diaper_kind,expression_side,expression_amount,expression_unit,expression_amount_ml
0e929dc3-1944-4887-b356-f04b70af72a5,,feeding,2025-10-22 15:25:43.961789+00,2025-10-22 15:01:03.907+00,2025-10-22 15:25:42.222+00,,{},breast,left,1476,,,,,,,,,
0e9e7407-9a29-41da-abbb-30eb5a5d3cb1,,feeding,2025-11-12 00:03:44.91899+00,2025-11-11 23:45:00+00,2025-11-12 00:03:43.726+00,,{},breast,left,1112,,,,,,,,,
0eaf0d70-8ee3-4e64-8b26-70d00aba080d,,expression,2025-10-17 18:08:01.069093+00,2025-10-17 17:58:41+00,,,{},,,,,,,,,both,30,ml,30
0ece91f8-9dc2-4490-b366-3085d1785ae4,,feeding,2025-10-29 18:06:55.608068+00,2025-10-29 17:54:08.229+00,2025-10-29 18:06:54.517+00,,{},breast,left,726,,,,,,,,,
0eea4075-4c04-41b4-b41e-5f161390a983,,feeding,2025-11-09 18:34:11.646831+00,2025-11-09 18:03:04.377+00,2025-11-09 18:34:10.49+00,,{},breast,left,617,,,,,,,,,
0f137c92-f448-4f7b-8857-63cd50ea7b03,,feeding,2025-11-24 23:28:51.923387+00,2025-11-24 23:10:39.08+00,2025-11-24 23:28:50.686+00,,{},breast,right,1087,,,,,,,,,
0f2a5744-b990-4dfd-bcac-23a0a3a0775b,,feeding,2025-10-14 03:31:29.500084+00,2025-10-14 03:22:00+00,,,{},bottle,,,60,ml,60,breast_milk,,,,,
0f589b6e-bea4-44d3-b194-089254a9906f,,feeding,2025-11-14 10:08:03.107249+00,2025-11-14 09:53:35.723+00,2025-11-14 10:08:01.846+00,,{},breast,left,666,,,,,,,,,
10049780-b3c7-48e1-bad8-48705bdca000,,feeding,2025-10-20 05:14:30.40278+00,2025-10-20 05:11:00+00,,,{},bottle,,,70,ml,70,breast_milk,,,,,
10cb9874-1caa-4956-964b-c6eb04c9169a,,expression,2025-10-19 11:34:17.235127+00,2025-10-19 11:18:00+00,,,{},,,,,,,,,both,55,ml,55
115219ac-61e7-4536-9b79-d835a7584729,,feeding,2025-11-28 19:57:43.908866+00,2025-11-28 19:55:00+00,,,{},bottle,,,130,ml,130,breast_milk,,,,,
11a8cef7-4d90-4e43-8821-5ccd3e5b137d,,diaper,2025-10-26 00:08:06.032201+00,2025-10-26 00:05:00+00,,,{},,,,,,,,mixed,,,,
11ab9de2-dd86-4ff7-a667-7b0c42706705,,feeding,2025-11-11 10:30:17.038293+00,2025-11-11 10:19:19.064+00,2025-11-11 10:30:16.182+00,,{},breast,right,590,,,,,,,,,
11d38117-a61e-45e6-898e-b20de41d0f94,,diaper,2025-10-24 22:49:48.479347+00,2025-10-24 22:48:00+00,,,{},,,,,,,,wet,,,,
121aa6eb-8bef-49e3-9224-6f62d576b022,,diaper,2025-10-18 15:16:56.919506+00,2025-10-18 15:05:34+00,,,{},,,,,,,,wet,,,,
1225d662-ac0d-49d0-86ca-e7c27e938f47,,expression,2025-10-20 11:23:28.261893+00,2025-10-20 11:03:14+00,,,{},,,,,,,,,both,100,ml,100
12388630-dfc3-46e0-9e4e-b495d69e0047,,diaper,2025-11-06 12:19:35.3077+00,2025-11-06 11:59:29+00,,,{},,,,,,,,wet,,,,
129d35b6-6b2c-437e-9d0d-e6d7ae5c458f,,diaper,2025-10-25 01:48:29.2381+00,2025-10-25 01:18:18+00,,,{},,,,,,,,wet,,,,
12b47855-c3a2-47aa-a189-623a686d1066,,feeding,2025-10-25 20:47:06.728572+00,2025-10-25 20:32:00+00,2025-10-25 20:47:06.188+00,,{},breast,left,541,,,,,,,,,
1300c3b2-2b12-4077-8942-c54bdcd38b16,,feeding,2025-11-13 14:47:02.364547+00,2025-11-13 14:25:15.178+00,2025-11-13 14:47:01.285+00,,{},breast,right,1304,,,,,,,,,
132ad7a2-1197-475d-bf21-5ccf5cc0354d,,expression,2025-11-01 18:12:12.751863+00,2025-11-01 17:00:00+00,,,{},,,,,,,,,both,90,ml,90
135a648e-e9e7-4a6c-98fd-0d30babb2526,,diaper,2025-10-30 21:19:09.424363+00,,,,{},,,,,,,,wet,,,,
13a493ad-57b5-49ce-be13-7d90fad11a78,,feeding,2025-12-02 14:49:37.101957+00,2025-12-02 14:16:47.381+00,2025-12-02 14:49:35.885+00,,{},breast,left,1965,,,,,,,,,
147e99a1-1bfd-434a-8ec1-860d7f68a192,,feeding,2025-11-11 21:18:05.862505+00,2025-11-11 21:01:04.5+00,2025-11-11 21:18:04.656+00,,{},breast,left,1018,,,,,,,,,
14ab58b6-cb1b-4e51-ad37-04320c661f97,,diaper,2025-10-23 07:24:27.920491+00,2025-10-23 07:25:00+00,,,{},,,,,,,,mixed,,,,
14eaa67f-a793-4cf4-90fd-4b1b0f778fb5,,expression,2025-11-26 02:13:12.545611+00,2025-11-26 01:42:52+00,,,{},,,,,,,,,both,125,ml,125
1529947f-a2b7-4b3e-ae9a-e1c9213e266f,,diaper,2025-10-18 07:06:04.899653+00,,,,{},,,,,,,,mixed,,,,
15e5a3d7-25dd-4e31-8335-0588bde1f809,,feeding,2025-11-29 22:10:04.980671+00,2025-11-29 21:42:00+00,2025-11-29 22:10:04.705+00,,{},breast,left,1682,,,,,,,,,
166a15a1-35ba-431a-b856-1513c79c9194,,feeding,2025-10-22 23:42:22.016246+00,2025-10-22 23:03:00+00,2025-10-22 23:42:21.558+00,,{},breast,left,2359,,,,,,,,,
1680a657-18d2-4b53-9e0c-df6e213539b8,,diaper,2025-11-02 02:52:50.735619+00,,,,{},,,,,,,,wet,,,,
17bcee2d-0d98-4ab8-92cb-b91e50a5f358,,feeding,2025-10-15 09:57:43.71864+00,2025-10-15 09:20:00+00,,,{},bottle,,,60,ml,60,breast_milk,,,,,
1807204a-ee7c-4aa0-b885-420c2e246540,,feeding,2025-11-19 15:57:25.737533+00,2025-11-19 15:29:54.099+00,2025-11-19 15:57:24.676+00,,{},breast,right,1649,,,,,,,,,
18131c51-ef17-4bc5-8e5e-1351815829ae,,feeding,2025-10-12 17:52:57.133207+00,2025-10-12 16:55:00+00,,,{},bottle,,,70,ml,70,breast_milk,,,,,
18493b37-1d4a-45de-94c4-7a5d84ce00d3,,feeding,2025-11-11 03:09:58.138671+00,2025-11-11 02:30:00+00,,,{},bottle,,,20,ml,20,breast_milk,,,,,
18574d68-d712-4829-832e-547a125b2329,,feeding,2025-11-05 18:07:13.977345+00,2025-11-05 16:20:00+00,,,{},bottle,,,70,ml,70,breast_milk,,,,,
18ba44b1-de13-4a5c-a1ef-4904ba4163f8,,feeding,2025-10-29 16:17:23.039087+00,2025-10-29 15:45:21.44+00,2025-10-29 16:17:21.918+00,,{},breast,right,1913,,,,,,,,,
18d6f8f4-a490-4443-88e5-e62d54e1eb4c,,expression,2025-10-27 12:54:56.764443+00,2025-10-27 12:34:41+00,,,{},,,,,,,,,both,160,ml,160
191e617b-5953-4e6b-8d4f-1b72d2474b5b,,feeding,2025-12-02 23:15:30.084847+00,2025-12-02 23:05:27.788+00,2025-12-02 23:15:28.842+00,,{},breast,right,545,,,,,,,,,
19412fdb-dcd8-49eb-8979-d4c5b6ef7bbc,,diaper,2025-10-15 01:11:09.283675+00,2025-10-15 01:00:00+00,,,{},,,,,,,,wet,,,,
1960003c-eb80-47d2-9996-3ed8abed4405,,diaper,2025-10-14 10:37:19.206497+00,2025-10-14 10:07:00+00,,,{},,,,,,,,wet,,,,
199216ad-741f-40e4-abf0-67a3f7abab23,,feeding,2025-10-12 02:30:11.333014+00,2025-10-12 02:29:00+00,,,{},bottle,,,2.5,fl_oz,73.93375,formula,,,,,
19942092-aab9-4dc2-a07c-1c2ebd24e3ef,,feeding,2025-11-18 21:43:29.976572+00,2025-11-18 21:29:00+00,2025-11-18 21:43:29.729+00,,{},breast,left,868,,,,,,,,,
1bf33592-9b4a-4fec-8cfd-4063ad7dcab4,,diaper,2025-10-20 08:44:53.365287+00,2025-10-20 08:34:44+00,,,{},,,,,,,,mixed,,,,
1c26623c-7f08-43b1-988c-da1218d3115b,,expression,2025-10-22 12:57:06.630669+00,2025-10-22 11:59:00+00,,,{},,,,,,,,,both,90,ml,90
1d8e147b-1b7e-4b94-b57b-e17288a447a9,,feeding,2025-11-30 22:53:30.298986+00,2025-11-30 22:00:00+00,,,{},bottle,,,80,ml,80,breast_milk,,,,,
1ddd98f6-1f70-49dc-8094-5c34824450c4,,feeding,2025-11-01 15:14:18.352193+00,2025-11-01 15:00:34.911+00,2025-11-01 15:14:17.28+00,,{},breast,right,794,,,,,,,,,
1f0b845d-3821-4176-8a44-b8e97f7b2e91,,feeding,2025-10-29 20:21:10.225201+00,2025-10-29 19:36:39.54+00,2025-10-29 20:21:09.18+00,,{},breast,right,2623,,,,,,,,,
1f4ef13c-64fe-4431-b8c8-ad3af8d50cbe,,feeding,2025-10-30 19:46:14.449496+00,2025-10-30 19:14:45.635+00,2025-10-30 19:46:13.281+00,,{},breast,right,727,,,,,,,,,
1f590b5a-c8da-4622-ae5e-428571f916ff,,expression,2025-11-01 22:30:35.75395+00,2025-11-01 21:08:15+00,,,{},,,,,,,,,both,50,ml,50
1f938476-33aa-4593-acb5-3dc6599009aa,,expression,2025-11-25 22:54:00.702921+00,2025-11-25 21:22:00+00,,,{},,,,,,,,,both,105,ml,105
1f9d4ccd-721e-4831-8a18-21fd41b03e1a,,feeding,2025-11-23 03:47:56.048926+00,2025-11-23 03:30:00+00,,,{},bottle,,,120,ml,120,breast_milk,,,,,
1fff8aec-8cbc-4c47-9f06-68c9eac3dcbd,,feeding,2025-11-22 21:34:29.458832+00,2025-11-22 21:25:00+00,,,{},bottle,,,120,ml,120,breast_milk,,,,,
20227149-9a91-4eaa-adbb-0d061758ea18,,expression,2025-11-09 03:47:21.166344+00,2025-11-09 03:24:33+00,,,{},,,,,,,,,both,130,ml,130
204eb02b-990b-4cd6-a069-8b4c4cb5a728,,expression,2025-11-09 07:04:46.757971+00,2025-11-09 06:20:00+00,,,{},,,,,,,,,both,140,ml,140
20696f82-cfa3-4c88-86d2-eb7c4800644a,,feeding,2025-11-04 00:58:38.682465+00,2025-11-04 00:55:00+00,,,{},bottle,,,70,ml,70,breast_milk,,,,,
206cfae3-efbb-4e85-92d2-cc9a4fd11d9e,,feeding,2025-11-05 07:49:55.974891+00,2025-11-05 07:39:37+00,,,{},bottle,,,30,ml,30,breast_milk,,,,,
206e9f9d-bc1d-4f23-9779-a177d00dc79a,,feeding,2025-10-21 20:03:12.427493+00,2025-10-21 19:45:13.838+00,2025-10-21 20:03:11.409+00,,{},breast,left,991,,,,,,,,,
209f5d3f-8cbc-4fe4-af7a-962a234fcc67,,expression,2025-10-30 02:33:17.306059+00,2025-10-29 22:33:00+00,,,{},,,,,,,,,both,70,ml,70
20de8fbe-cf0a-4f86-8e1c-c8c386ab39a6,,feeding,2025-11-15 06:13:36.169387+00,2025-11-15 05:13:00+00,,,{},bottle,,,120,ml,120,breast_milk,,,,,
21109e8d-4557-4e4c-9900-29c312efdf8d,,feeding,2025-11-20 05:22:21.343019+00,2025-11-20 05:06:21.78+00,2025-11-20 05:22:20.535+00,,{},breast,right,957,,,,,,,,,
2157ead0-85cf-4fc9-b912-cd51ffde5ac7,,feeding,2025-11-05 22:37:06.404171+00,2025-11-05 22:20:49.909+00,2025-11-05 22:37:05.338+00,,{},breast,right,973,,,,,,,,,
2184e4e6-10ee-4783-80dd-b127ab2dfa83,,expression,2025-11-22 21:38:23.14877+00,2025-11-22 21:27:57+00,,,{},,,,,,,,,both,70,ml,70
21e0f795-70c3-40d1-800a-b7e4610e6b6a,,diaper,2025-10-31 02:21:05.970524+00,,,,{},,,,,,,,wet,,,,
21ff91e5-2cd8-452e-a949-f86d8dbb2c44,,diaper,2025-10-25 13:38:12.235099+00,,,,{},,,,,,,,mixed,,,,
22a901e8-d545-49db-9d47-801c50f33f4c,,feeding,2025-10-30 17:39:40.411055+00,2025-10-30 17:08:00+00,2025-10-30 17:39:39.296+00,,{},breast,left,1836,,,,,,,,,
22c97d51-2227-41ab-b4aa-f3ff1be11ca7,,expression,2025-11-28 09:51:51.588517+00,2025-11-28 09:21:33+00,,,{},,,,,,,,,both,260,ml,260
22fd3c0d-075d-43da-83b7-54ce062c48b3,,feeding,2025-10-25 15:53:27.700536+00,2025-10-25 14:59:33.146+00,2025-10-25 15:53:26.053+00,,{},breast,left,3222,,,,,,,,,
2326ff87-61e5-4724-ae5a-e3a30f59f26e,,feeding,2025-10-22 06:31:14.151591+00,2025-10-22 06:20:00+00,,,{},bottle,,,65,ml,65,breast_milk,,,,,
2387882f-2de9-47fb-b00c-45d6d20b2c60,,feeding,2025-11-02 20:24:06.094762+00,2025-11-02 19:51:58.267+00,2025-11-02 20:24:04.584+00,,{},breast,left,1916,,,,,,,,,
2403697c-ae95-4492-ae55-52e69c7c821e,,feeding,2025-11-19 21:19:28.949895+00,2025-11-19 20:59:00+00,2025-11-19 21:19:28.628+00,,{},breast,right,1227,,,,,,,,,
24425e34-ac89-41ee-b680-ca5968d3508d,,feeding,2025-10-24 02:03:16.647769+00,2025-10-24 01:45:00+00,,,{},bottle,,,45,ml,45,breast_milk,,,,,
24785587-5fe2-494e-b576-693f5a1f829c,,diaper,2025-11-02 16:04:18.190466+00,2025-11-02 15:08:51+00,,,{},,,,,,,,wet,,,,
24cbab5a-dd43-41d6-b14a-98c8e1143c53,,feeding,2025-11-20 18:44:11.885884+00,2025-11-20 18:24:24.688+00,2025-11-20 18:44:10.891+00,,{},breast,right,1184,,,,,,,,,
24e64236-7a56-4a76-a501-2e31c1f5c157,,expression,2025-10-25 19:56:12.019576+00,2025-10-25 18:56:00+00,,,{},,,,,,,,,both,40,ml,40
24fe5263-d2b8-46c8-aa22-3c9bc8d4d0c9,,feeding,2025-10-16 18:58:56.176154+00,2025-10-16 18:48:46+00,,,{},bottle,,,40,ml,40,breast_milk,,,,,
251f11bc-2c97-471e-ad27-27b8935d652e,,feeding,2025-11-05 13:00:29.541824+00,2025-11-05 12:41:12.012+00,2025-11-05 13:00:28.159+00,,{},breast,left,1151,,,,,,,,,
256d5478-be7e-46a9-b2f5-cca5247de578,,diaper,2025-11-06 00:37:37.785289+00,2025-11-06 00:30:00+00,,,{},,,,,,,,mixed,,,,
2590b471-0447-4c10-a83b-1446fa1e4676,,feeding,2025-11-05 10:22:19.903284+00,2025-11-05 10:01:01.622+00,2025-11-05 10:22:19.083+00,,{},breast,right,1271,,,,,,,,,
259177d7-d4c6-41fc-b772-446cf00638c7,,feeding,2025-12-02 05:15:31.205111+00,2025-12-02 04:05:00+00,,,{},bottle,,,120,ml,120,breast_milk,,,,,
25b038f2-e5f5-489f-9e6f-73b493e14225,,feeding,2025-11-03 01:26:29.699468+00,2025-11-03 01:16:55.852+00,2025-11-03 01:26:28.71+00,,{},breast,right,570,,,,,,,,,
26150830-4797-48d9-9651-1cc701b13681,,feeding,2025-11-04 17:12:29.888531+00,2025-11-04 16:53:57.543+00,2025-11-04 17:12:28.981+00,,{},breast,right,280,,,,,,,,,
262b6601-cd65-41c5-b36c-b6306883069b,,feeding,2025-10-19 19:32:36.5231+00,2025-10-19 16:30:00+00,,,{},bottle,,,60,ml,60,breast_milk,,,,,
263fd838-27fd-4786-8a44-3570909dee0d,,diaper,2025-10-24 17:04:36.804452+00,,,,{},,,,,,,,wet,,,,
26518516-e598-42e1-86d0-36859b7ab0ec,,diaper,2025-10-15 03:19:10.60319+00,2025-10-15 03:18:00+00,,,{},,,,,,,,wet,,,,
26900903-66be-4531-b4ed-e1348024aa0b,,feeding,2025-11-06 23:50:05.917515+00,2025-11-06 23:10:00+00,,,{},bottle,,,100,ml,100,breast_milk,,,,,
26fed5a2-320f-458e-a9e4-0de763de34da,,diaper,2025-10-16 17:37:35.017087+00,2025-10-16 17:07:03+00,,,{},,,,,,,,mixed,,,,
27268483-f917-499d-b753-077205603262,,diaper,2025-11-06 20:57:09.938699+00,,,,{},,,,,,,,wet,,,,
277d0dd3-4b60-403c-aa3a-020115f29dc4,,feeding,2025-10-26 15:05:30.010166+00,2025-10-26 14:27:50.189+00,2025-10-26 15:05:29.108+00,,{},breast,left,2257,,,,,,,,,
27bc6f09-1e74-4a6d-b435-4ad8038b1fc6,,expression,2025-10-23 06:51:09.039949+00,2025-10-23 06:29:31+00,,,{},,,,,,,,,both,135,ml,135
28568063-2771-42e0-9b1b-7eca6cc00f13,,diaper,2025-10-17 20:06:42.775202+00,,,,{},,,,,,,,mixed,,,,
28786f8d-549a-4a4d-962e-34f70398fefe,,expression,2025-11-30 19:05:06.341316+00,2025-11-30 18:54:38+00,,,{},,,,,,,,,both,145,ml,145
28dbd803-dfc1-4eec-bf2b-4fe5ffe33382,,expression,2025-10-19 07:04:02.603943+00,2025-10-19 06:35:00+00,,,{},,,,,,,,,both,170,ml,170
292b20c7-5fab-476a-865b-d3631ba9c96b,,feeding,2025-11-09 05:55:23.816885+00,2025-11-09 05:35:00+00,,,{},bottle,,,100,ml,100,breast_milk,,,,,
2965421d-3cf0-47c7-8f67-f4f1176a0630,,feeding,2025-10-30 05:13:42.073127+00,2025-10-30 04:55:00+00,,,{},bottle,,,60,ml,60,breast_milk,,,,,
297a93ed-aaa9-4c05-9bdb-a8fe2deb5728,,expression,2025-11-27 06:51:33.059272+00,2025-11-27 06:37:19+00,,,{},,,,,,,,,both,90,ml,90
29d30ee4-76e2-4b39-9890-b36cfbbc09b0,,feeding,2025-12-01 05:28:45.298088+00,2025-12-01 05:28:02+00,,,{},bottle,,,120,ml,120,breast_milk,,,,,
29d936b8-cffb-4a31-a9bc-85a5249454c8,,expression,2025-10-15 11:05:31.039289+00,2025-10-15 10:45:00+00,,,{},,,,,,,,,both,155,ml,155
2a224ae8-ffa8-411e-bafa-370d4d4d211d,,diaper,2025-11-08 10:09:12.293728+00,,,,{},,,,,,,,dirty,,,,
2a325b77-7fce-4661-91d4-0ae6f13bdcf0,,feeding,2025-10-14 07:10:21.870879+00,2025-10-14 07:05:00+00,,,{},bottle,,,45,ml,45,breast_milk,,,,,
